instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category,work_hours
1,2011-01-01,Spring,2011,Jan,0,0,Saturday,Clear,0.24,0.2879,81.0,0.0,3,13,16,Weekend,Terlalu Lembab,Non-Work Hours
2,2011-01-01,Spring,2011,Jan,1,0,Saturday,Clear,0.22,0.2727,80.0,0.0,8,32,40,Weekend,Terlalu Lembab,Non-Work Hours
3,2011-01-01,Spring,2011,Jan,2,0,Saturday,Clear,0.22,0.2727,80.0,0.0,5,27,32,Weekend,Terlalu Lembab,Non-Work Hours
4,2011-01-01,Spring,2011,Jan,3,0,Saturday,Clear,0.24,0.2879,75.0,0.0,3,10,13,Weekend,Terlalu Lembab,Non-Work Hours
5,2011-01-01,Spring,2011,Jan,4,0,Saturday,Clear,0.24,0.2879,75.0,0.0,0,1,1,Weekend,Terlalu Lembab,Non-Work Hours
6,2011-01-01,Spring,2011,Jan,5,0,Saturday,Misty,0.24,0.2576,75.0,0.0896,0,1,1,Weekend,Terlalu Lembab,Non-Work Hours
7,2011-01-01,Spring,2011,Jan,6,0,Saturday,Clear,0.22,0.2727,80.0,0.0,2,0,2,Weekend,Terlalu Lembab,Non-Work Hours
8,2011-01-01,Spring,2011,Jan,7,0,Saturday,Clear,0.2,0.2576,86.0,0.0,1,2,3,Weekend,Terlalu Lembab,Work Hours
9,2011-01-01,Spring,2011,Jan,8,0,Saturday,Clear,0.24,0.2879,75.0,0.0,1,7,8,Weekend,Terlalu Lembab,Work Hours
10,2011-01-01,Spring,2011,Jan,9,0,Saturday,Clear,0.32,0.3485,76.0,0.0,8,6,14,Weekend,Terlalu Lembab,Work Hours
11,2011-01-01,Spring,2011,Jan,10,0,Saturday,Clear,0.38,0.3939,76.0,0.2537,12,24,36,Weekend,Terlalu Lembab,Work Hours
12,2011-01-01,Spring,2011,Jan,11,0,Saturday,Clear,0.36,0.3333,81.0,0.2836,26,30,56,Weekend,Terlalu Lembab,Work Hours
13,2011-01-01,Spring,2011,Jan,12,0,Saturday,Clear,0.42,0.4242,77.0,0.2836,29,55,84,Weekend,Terlalu Lembab,Work Hours
14,2011-01-01,Spring,2011,Jan,13,0,Saturday,Misty,0.46,0.4545,72.0,0.2985,47,47,94,Weekend,Terlalu Lembab,Work Hours
15,2011-01-01,Spring,2011,Jan,14,0,Saturday,Misty,0.46,0.4545,72.0,0.2836,35,71,106,Weekend,Terlalu Lembab,Work Hours
16,2011-01-01,Spring,2011,Jan,15,0,Saturday,Misty,0.44,0.4394,77.0,0.2985,40,70,110,Weekend,Terlalu Lembab,Work Hours
17,2011-01-01,Spring,2011,Jan,16,0,Saturday,Misty,0.42,0.4242,82.0,0.2985,41,52,93,Weekend,Terlalu Lembab,Work Hours
18,2011-01-01,Spring,2011,Jan,17,0,Saturday,Misty,0.44,0.4394,82.0,0.2836,15,52,67,Weekend,Terlalu Lembab,Non-Work Hours
19,2011-01-01,Spring,2011,Jan,18,0,Saturday,Light_rainsnow,0.42,0.4242,88.0,0.2537,9,26,35,Weekend,Terlalu Lembab,Non-Work Hours
20,2011-01-01,Spring,2011,Jan,19,0,Saturday,Light_rainsnow,0.42,0.4242,88.0,0.2537,6,31,37,Weekend,Terlalu Lembab,Non-Work Hours
21,2011-01-01,Spring,2011,Jan,20,0,Saturday,Misty,0.4,0.4091,87.0,0.2537,11,25,36,Weekend,Terlalu Lembab,Non-Work Hours
22,2011-01-01,Spring,2011,Jan,21,0,Saturday,Misty,0.4,0.4091,87.0,0.194,3,31,34,Weekend,Terlalu Lembab,Non-Work Hours
23,2011-01-01,Spring,2011,Jan,22,0,Saturday,Misty,0.4,0.4091,94.0,0.2239,11,17,28,Weekend,Terlalu Lembab,Non-Work Hours
24,2011-01-01,Spring,2011,Jan,23,0,Saturday,Misty,0.46,0.4545,88.0,0.2985,15,24,39,Weekend,Terlalu Lembab,Non-Work Hours
25,2011-01-02,Spring,2011,Jan,0,0,Sunday,Misty,0.46,0.4545,88.0,0.2985,4,13,17,Weekend,Terlalu Lembab,Non-Work Hours
26,2011-01-02,Spring,2011,Jan,1,0,Sunday,Misty,0.44,0.4394,94.0,0.2537,1,16,17,Weekend,Terlalu Lembab,Non-Work Hours
27,2011-01-02,Spring,2011,Jan,2,0,Sunday,Misty,0.42,0.4242,100.0,0.2836,1,8,9,Weekend,Terlalu Lembab,Non-Work Hours
28,2011-01-02,Spring,2011,Jan,3,0,Sunday,Misty,0.46,0.4545,94.0,0.194,2,4,6,Weekend,Terlalu Lembab,Non-Work Hours
29,2011-01-02,Spring,2011,Jan,4,0,Sunday,Misty,0.46,0.4545,94.0,0.194,2,1,3,Weekend,Terlalu Lembab,Non-Work Hours
30,2011-01-02,Spring,2011,Jan,6,0,Sunday,Light_rainsnow,0.42,0.4242,77.0,0.2985,0,2,2,Weekend,Terlalu Lembab,Non-Work Hours
31,2011-01-02,Spring,2011,Jan,7,0,Sunday,Misty,0.4,0.4091,76.0,0.194,0,1,1,Weekend,Terlalu Lembab,Work Hours
